id_a,id_b,flow_ab,xa,ya,xb,yb,flow_ba
Zürich,Bern,1673,963577.9256428452,6010540.039013593,848944.7423005573,5913827.7381231645,2097
Zürich,Lucerne,1017,963577.9256428452,6010540.039013593,903672.1954563438,5953394.299862124,1530
Zürich,Uri,84,963577.9256428452,6010540.039013593,960415.8152588962,5905544.698186653,110
Zürich,Schwyz,1704,963577.9256428452,6010540.039013593,975335.8955535906,5952571.893657682,1428
Zürich,Obwalden,70,963577.9256428452,6010540.039013593,917704.7625825251,5918015.449310717,107
Zürich,Nidwalden,94,963577.9256428452,6010540.039013593,936302.604938463,5930028.001069414,132
Zürich,Glarus,250,963577.9256428452,6010540.039013593,1009174.4247908473,5938930.731621181,268
Zürich,Zug,1246,963577.9256428452,6010540.039013593,950539.9948561124,5968464.518146509,1218
Zürich,Fribourg,173,963577.9256428452,6010540.039013593,787775.0023574454,5896584.549930366,267
Zürich,Solothurn,547,963577.9256428452,6010540.039013593,850869.423476224,5992406.640604626,636
Zürich,Basel-Stadt,540,963577.9256428452,6010540.039013593,847705.9893533889,6034965.4912480395,808
Zürich,Basel-Landschaft,409,963577.9256428452,6010540.039013593,857882.2967038036,6016706.592630512,573
Zürich,Schaffhausen,996,963577.9256428452,6010540.039013593,956268.4487359578,6060289.10004496,970
Zürich,Appenzell Ausserrhoden,167,963577.9256428452,6010540.039013593,1043208.5052783317,6002313.718501874,263
Zürich,Appenzell Innerrhoden,50,963577.9256428452,6010540.039013593,1048263.5628800367,5994104.9908182565,39
Zürich,Sankt Gallen,2444,963577.9256428452,6010540.039013593,1031682.3458421695,5979640.490512004,3327
Zürich,Graubünden,987,963577.9256428452,6010540.039013593,1071947.3477250743,5886586.387826267,1375
Zürich,Aargau,6143,963577.9256428452,6010540.039013593,908261.8459321136,6009462.278535884,4546
Zürich,Thurgau,2475,963577.9256428452,6010540.039013593,1014401.9688154717,6035170.849313236,2285
Zürich,Ticino,445,963577.9256428452,6010540.039013593,980531.5751880938,5828370.216423506,877
Zürich,Vaud,511,963577.9256428452,6010540.039013593,741259.7292966436,5872564.267621975,820
Zürich,Valais,179,963577.9256428452,6010540.039013593,847350.381217968,5814446.772378747,319
Zürich,Neuchâtel,58,963577.9256428452,6010540.039013593,755015.2603519754,5941653.985079498,115
Zürich,Genève,226,963577.9256428452,6010540.039013593,682782.1127196179,5815843.944762665,481
Zürich,Jura,27,963577.9256428452,6010540.039013593,796768.7545341233,5999875.050249346,38
Bern,Basel-Stadt,324,848944.7423005573,5913827.7381231645,847705.9893533889,6034965.4912480395,416
Bern,Basel-Landschaft,347,848944.7423005573,5913827.7381231645,857882.2967038036,6016706.592630512,443
Bern,Appenzell Ausserrhoden,23,848944.7423005573,5913827.7381231645,1043208.5052783317,6002313.718501874,50
Bern,Appenzell Innerrhoden,7,848944.7423005573,5913827.7381231645,1048263.5628800367,5994104.9908182565,12
Bern,Aargau,1124,848944.7423005573,5913827.7381231645,908261.8459321136,6009462.278535884,1160
Lucerne,Bern,899,903672.1954563438,5953394.299862124,848944.7423005573,5913827.7381231645,815
Lucerne,Glarus,30,903672.1954563438,5953394.299862124,1009174.4247908473,5938930.731621181,25
Lucerne,Fribourg,50,903672.1954563438,5953394.299862124,787775.0023574454,5896584.549930366,55
Lucerne,Basel-Stadt,143,903672.1954563438,5953394.299862124,847705.9893533889,6034965.4912480395,146
Lucerne,Basel-Landschaft,112,903672.1954563438,5953394.299862124,857882.2967038036,6016706.592630512,187
Lucerne,Appenzell Ausserrhoden,17,903672.1954563438,5953394.299862124,1043208.5052783317,6002313.718501874,31
Lucerne,Appenzell Innerrhoden,2,903672.1954563438,5953394.299862124,1048263.5628800367,5994104.9908182565,10
Lucerne,Graubünden,148,903672.1954563438,5953394.299862124,1071947.3477250743,5886586.387826267,240
Lucerne,Aargau,1512,903672.1954563438,5953394.299862124,908261.8459321136,6009462.278535884,1372
Lucerne,Genève,24,903672.1954563438,5953394.299862124,682782.1127196179,5815843.944762665,23
Lucerne,Jura,9,903672.1954563438,5953394.299862124,796768.7545341233,5999875.050249346,3
Uri,Bern,40,960415.8152588962,5905544.698186653,848944.7423005573,5913827.7381231645,33
Uri,Lucerne,108,960415.8152588962,5905544.698186653,903672.1954563438,5953394.299862124,122
Uri,Schwyz,94,960415.8152588962,5905544.698186653,975335.8955535906,5952571.893657682,102
Uri,Obwalden,30,960415.8152588962,5905544.698186653,917704.7625825251,5918015.449310717,31
Uri,Nidwalden,29,960415.8152588962,5905544.698186653,936302.604938463,5930028.001069414,58
Uri,Glarus,9,960415.8152588962,5905544.698186653,1009174.4247908473,5938930.731621181,1
Uri,Fribourg,4,960415.8152588962,5905544.698186653,787775.0023574454,5896584.549930366,1
Uri,Solothurn,11,960415.8152588962,5905544.698186653,850869.423476224,5992406.640604626,9
Uri,Basel-Stadt,7,960415.8152588962,5905544.698186653,847705.9893533889,6034965.4912480395,1
Uri,Basel-Landschaft,14,960415.8152588962,5905544.698186653,857882.2967038036,6016706.592630512,2
Uri,Schaffhausen,1,960415.8152588962,5905544.698186653,956268.4487359578,6060289.10004496,2
Uri,Appenzell Ausserrhoden,0,960415.8152588962,5905544.698186653,1043208.5052783317,6002313.718501874,2
Uri,Appenzell Innerrhoden,1,960415.8152588962,5905544.698186653,1048263.5628800367,5994104.9908182565,0
Uri,Sankt Gallen,26,960415.8152588962,5905544.698186653,1031682.3458421695,5979640.490512004,9
Uri,Graubünden,34,960415.8152588962,5905544.698186653,1071947.3477250743,5886586.387826267,24
Uri,Aargau,31,960415.8152588962,5905544.698186653,908261.8459321136,6009462.278535884,21
Uri,Thurgau,10,960415.8152588962,5905544.698186653,1014401.9688154717,6035170.849313236,7
Uri,Ticino,6,960415.8152588962,5905544.698186653,980531.5751880938,5828370.216423506,22
Uri,Neuchâtel,1,960415.8152588962,5905544.698186653,755015.2603519754,5941653.985079498,2
Uri,Genève,1,960415.8152588962,5905544.698186653,682782.1127196179,5815843.944762665,0
Uri,Jura,0,960415.8152588962,5905544.698186653,796768.7545341233,5999875.050249346,0
Schwyz,Bern,123,975335.8955535906,5952571.893657682,848944.7423005573,5913827.7381231645,129
Schwyz,Lucerne,507,975335.8955535906,5952571.893657682,903672.1954563438,5953394.299862124,452
Schwyz,Obwalden,29,975335.8955535906,5952571.893657682,917704.7625825251,5918015.449310717,26
Schwyz,Nidwalden,40,975335.8955535906,5952571.893657682,936302.604938463,5930028.001069414,45
Schwyz,Glarus,129,975335.8955535906,5952571.893657682,1009174.4247908473,5938930.731621181,141
Schwyz,Fribourg,7,975335.8955535906,5952571.893657682,787775.0023574454,5896584.549930366,11
Schwyz,Basel-Stadt,33,975335.8955535906,5952571.893657682,847705.9893533889,6034965.4912480395,44
Schwyz,Basel-Landschaft,21,975335.8955535906,5952571.893657682,857882.2967038036,6016706.592630512,50
Schwyz,Schaffhausen,18,975335.8955535906,5952571.893657682,956268.4487359578,6060289.10004496,26
Schwyz,Appenzell Ausserrhoden,14,975335.8955535906,5952571.893657682,1043208.5052783317,6002313.718501874,11
Schwyz,Appenzell Innerrhoden,9,975335.8955535906,5952571.893657682,1048263.5628800367,5994104.9908182565,9
Schwyz,Sankt Gallen,497,975335.8955535906,5952571.893657682,1031682.3458421695,5979640.490512004,561
Schwyz,Graubünden,129,975335.8955535906,5952571.893657682,1071947.3477250743,5886586.387826267,115
Schwyz,Aargau,330,975335.8955535906,5952571.893657682,908261.8459321136,6009462.278535884,264
Schwyz,Neuchâtel,10,975335.8955535906,5952571.893657682,755015.2603519754,5941653.985079498,4
Schwyz,Genève,13,975335.8955535906,5952571.893657682,682782.1127196179,5815843.944762665,44
Schwyz,Jura,3,975335.8955535906,5952571.893657682,796768.7545341233,5999875.050249346,0
Obwalden,Bern,101,917704.7625825251,5918015.449310717,848944.7423005573,5913827.7381231645,85
Obwalden,Lucerne,344,917704.7625825251,5918015.449310717,903672.1954563438,5953394.299862124,282
Obwalden,Nidwalden,163,917704.7625825251,5918015.449310717,936302.604938463,5930028.001069414,187
Obwalden,Glarus,2,917704.7625825251,5918015.449310717,1009174.4247908473,5938930.731621181,3
Obwalden,Fribourg,6,917704.7625825251,5918015.449310717,787775.0023574454,5896584.549930366,2
Obwalden,Basel-Stadt,7,917704.7625825251,5918015.449310717,847705.9893533889,6034965.4912480395,10
Obwalden,Basel-Landschaft,16,917704.7625825251,5918015.449310717,857882.2967038036,6016706.592630512,20
Obwalden,Appenzell Ausserrhoden,6,917704.7625825251,5918015.449310717,1043208.5052783317,6002313.718501874,5
Obwalden,Appenzell Innerrhoden,1,917704.7625825251,5918015.449310717,1048263.5628800367,5994104.9908182565,2
Obwalden,Graubünden,18,917704.7625825251,5918015.449310717,1071947.3477250743,5886586.387826267,30
Obwalden,Aargau,49,917704.7625825251,5918015.449310717,908261.8459321136,6009462.278535884,69
Obwalden,Neuchâtel,0,917704.7625825251,5918015.449310717,755015.2603519754,5941653.985079498,0
Obwalden,Genève,3,917704.7625825251,5918015.449310717,682782.1127196179,5815843.944762665,2
Obwalden,Jura,0,917704.7625825251,5918015.449310717,796768.7545341233,5999875.050249346,1
Nidwalden,Bern,57,936302.604938463,5930028.001069414,848944.7423005573,5913827.7381231645,40
Nidwalden,Lucerne,519,936302.604938463,5930028.001069414,903672.1954563438,5953394.299862124,506
Nidwalden,Glarus,8,936302.604938463,5930028.001069414,1009174.4247908473,5938930.731621181,1
Nidwalden,Fribourg,10,936302.604938463,5930028.001069414,787775.0023574454,5896584.549930366,4
Nidwalden,Basel-Stadt,13,936302.604938463,5930028.001069414,847705.9893533889,6034965.4912480395,11
Nidwalden,Basel-Landschaft,10,936302.604938463,5930028.001069414,857882.2967038036,6016706.592630512,23
Nidwalden,Appenzell Ausserrhoden,0,936302.604938463,5930028.001069414,1043208.5052783317,6002313.718501874,3
Nidwalden,Appenzell Innerrhoden,0,936302.604938463,5930028.001069414,1048263.5628800367,5994104.9908182565,3
Nidwalden,Graubünden,23,936302.604938463,5930028.001069414,1071947.3477250743,5886586.387826267,13
Nidwalden,Aargau,70,936302.604938463,5930028.001069414,908261.8459321136,6009462.278535884,69
Nidwalden,Neuchâtel,0,936302.604938463,5930028.001069414,755015.2603519754,5941653.985079498,0
Nidwalden,Genève,1,936302.604938463,5930028.001069414,682782.1127196179,5815843.944762665,3
Nidwalden,Jura,2,936302.604938463,5930028.001069414,796768.7545341233,5999875.050249346,0
Glarus,Bern,38,1009174.4247908473,5938930.731621181,848944.7423005573,5913827.7381231645,27
Glarus,Fribourg,8,1009174.4247908473,5938930.731621181,787775.0023574454,5896584.549930366,1
Glarus,Basel-Stadt,4,1009174.4247908473,5938930.731621181,847705.9893533889,6034965.4912480395,6
Glarus,Basel-Landschaft,13,1009174.4247908473,5938930.731621181,857882.2967038036,6016706.592630512,4
Glarus,Appenzell Ausserrhoden,0,1009174.4247908473,5938930.731621181,1043208.5052783317,6002313.718501874,2
Glarus,Appenzell Innerrhoden,3,1009174.4247908473,5938930.731621181,1048263.5628800367,5994104.9908182565,2
Glarus,Aargau,84,1009174.4247908473,5938930.731621181,908261.8459321136,6009462.278535884,47
Glarus,Genève,0,1009174.4247908473,5938930.731621181,682782.1127196179,5815843.944762665,1
Zug,Bern,150,950539.9948561124,5968464.518146509,848944.7423005573,5913827.7381231645,177
Zug,Lucerne,746,950539.9948561124,5968464.518146509,903672.1954563438,5953394.299862124,679
Zug,Uri,29,950539.9948561124,5968464.518146509,960415.8152588962,5905544.698186653,29
Zug,Schwyz,392,950539.9948561124,5968464.518146509,975335.8955535906,5952571.893657682,381
Zug,Obwalden,31,950539.9948561124,5968464.518146509,917704.7625825251,5918015.449310717,30
Zug,Nidwalden,23,950539.9948561124,5968464.518146509,936302.604938463,5930028.001069414,61
Zug,Glarus,10,950539.9948561124,5968464.518146509,1009174.4247908473,5938930.731621181,6
Zug,Fribourg,18,950539.9948561124,5968464.518146509,787775.0023574454,5896584.549930366,30
Zug,Solothurn,65,950539.9948561124,5968464.518146509,850869.423476224,5992406.640604626,54
Zug,Basel-Stadt,51,950539.9948561124,5968464.518146509,847705.9893533889,6034965.4912480395,73
Zug,Basel-Landschaft,52,950539.9948561124,5968464.518146509,857882.2967038036,6016706.592630512,57
Zug,Schaffhausen,16,950539.9948561124,5968464.518146509,956268.4487359578,6060289.10004496,18
Zug,Appenzell Ausserrhoden,12,950539.9948561124,5968464.518146509,1043208.5052783317,6002313.718501874,8
Zug,Appenzell Innerrhoden,2,950539.9948561124,5968464.518146509,1048263.5628800367,5994104.9908182565,2
Zug,Sankt Gallen,67,950539.9948561124,5968464.518146509,1031682.3458421695,5979640.490512004,130
Zug,Graubünden,41,950539.9948561124,5968464.518146509,1071947.3477250743,5886586.387826267,41
Zug,Aargau,537,950539.9948561124,5968464.518146509,908261.8459321136,6009462.278535884,415
Zug,Thurgau,31,950539.9948561124,5968464.518146509,1014401.9688154717,6035170.849313236,40
Zug,Ticino,64,950539.9948561124,5968464.518146509,980531.5751880938,5828370.216423506,57
Zug,Vaud,67,950539.9948561124,5968464.518146509,741259.7292966436,5872564.267621975,112
Zug,Valais,24,950539.9948561124,5968464.518146509,847350.381217968,5814446.772378747,33
Zug,Neuchâtel,3,950539.9948561124,5968464.518146509,755015.2603519754,5941653.985079498,11
Zug,Genève,18,950539.9948561124,5968464.518146509,682782.1127196179,5815843.944762665,79
Zug,Jura,5,950539.9948561124,5968464.518146509,796768.7545341233,5999875.050249346,1
Fribourg,Bern,1522,787775.0023574454,5896584.549930366,848944.7423005573,5913827.7381231645,1353
Fribourg,Basel-Stadt,47,787775.0023574454,5896584.549930366,847705.9893533889,6034965.4912480395,44
Fribourg,Basel-Landschaft,18,787775.0023574454,5896584.549930366,857882.2967038036,6016706.592630512,31
Fribourg,Appenzell Ausserrhoden,2,787775.0023574454,5896584.549930366,1043208.5052783317,6002313.718501874,1
Fribourg,Appenzell Innerrhoden,0,787775.0023574454,5896584.549930366,1048263.5628800367,5994104.9908182565,1
Fribourg,Aargau,101,787775.0023574454,5896584.549930366,908261.8459321136,6009462.278535884,62
Solothurn,Bern,2197,850869.423476224,5992406.640604626,848944.7423005573,5913827.7381231645,2405
Solothurn,Lucerne,321,850869.423476224,5992406.640604626,903672.1954563438,5953394.299862124,331
Solothurn,Schwyz,71,850869.423476224,5992406.640604626,975335.8955535906,5952571.893657682,56
Solothurn,Obwalden,15,850869.423476224,5992406.640604626,917704.7625825251,5918015.449310717,19
Solothurn,Nidwalden,16,850869.423476224,5992406.640604626,936302.604938463,5930028.001069414,14
Solothurn,Glarus,7,850869.423476224,5992406.640604626,1009174.4247908473,5938930.731621181,29
Solothurn,Fribourg,78,850869.423476224,5992406.640604626,787775.0023574454,5896584.549930366,69
Solothurn,Basel-Stadt,438,850869.423476224,5992406.640604626,847705.9893533889,6034965.4912480395,393
